"GZTD_taxonID","scientificName","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","GZTD_nrecords","SpecCode"
2,"Acanthoscina","urn:lsid:marinespecies.org:taxname:101809","Acanthoscina Vosseler, 1900","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Scinidae","Acanthoscina","Amphipod",1,
3,"Ameroculodes edwardsi","urn:lsid:marinespecies.org:taxname:547000","Ameroculodes edwardsi (Holmes, 1905)","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Ameroculodes","Amphipod",1,20037
4,"Amphipoda","urn:lsid:marinespecies.org:taxname:1135","Amphipoda Latreille, 1816","Order","Animalia","Arthropoda","Malacostraca","Amphipoda",,,"Amphipod",2,
7,"Anchylomera blossevillei","urn:lsid:marinespecies.org:taxname:236613","Anchylomera blossevillei H. Milne Edwards, 1830","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Phrosinidae","Anchylomera","Amphipod",2,25190
8,"Anonyx","urn:lsid:marinespecies.org:taxname:101592","Anonyx Krøyer, 1838","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Anonyx","Amphipod",1,
13,"Atylus tridens","urn:lsid:marinespecies.org:taxname:488910","Atylus tridens (Alderman, 1936)","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Atylidae","Atylus","Amphipod",1,24075
15,"Batea catharinensis","urn:lsid:marinespecies.org:taxname:158032","Batea catharinensis Müller, 1865","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Bateidae","Batea","Amphipod",1,24085
17,"Brachyscelidae","urn:lsid:marinespecies.org:taxname:101414","Brachyscelidae Stephensen, 1923","Family","Animalia","Arthropoda","Malacostraca","Amphipoda","Brachyscelidae",,"Amphipod",1,
18,"Brachyscelus","urn:lsid:marinespecies.org:taxname:101792","Brachyscelus Spence Bate, 1861","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus","Amphipod",3,
19,"Brachyscelus crusculum","urn:lsid:marinespecies.org:taxname:103241","Brachyscelus crusculum Spence Bate, 1861","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus","Amphipod",6,25215
20,"Brachyscelus globiceps","urn:lsid:marinespecies.org:taxname:236552","Brachyscelus globiceps (Claus, 1879)","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus","Amphipod",3,25216
21,"Brachyscelus rapax","urn:lsid:marinespecies.org:taxname:236554","Brachyscelus rapax (Claus, 1871)","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus","Amphipod",2,25219
24,"Calliopius","urn:lsid:marinespecies.org:taxname:101511","Calliopius Lilljeborg, 1865","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Calliopius","Amphipod",1,
25,"Calliopius laeviusculus","urn:lsid:marinespecies.org:taxname:102178","Calliopius laeviusculus (Krøyer, 1838)","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Calliopius","Amphipod",290,23346
26,"Calliopius pacificus","urn:lsid:marinespecies.org:taxname:430720","Calliopius pacificus Bousfield & Hendrycks, 1997","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Calliopius","Amphipod",1,19995
28,"Caprella unica","urn:lsid:marinespecies.org:taxname:158160","Caprella unica Mayer, 1903","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Amphipod",1,23531
34,"Casco bigelowi","urn:lsid:marinespecies.org:taxname:158077","Casco bigelowi Blake, 1929","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Cheirocratidae","Casco","Amphipod",1,23815
36,"Cheloscina","urn:lsid:marinespecies.org:taxname:550712","Cheloscina Shih & Hendrycks, 1996","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Mimonectidae","Cheloscina","Amphipod",1,
37,"Chevreuxiella","urn:lsid:marinespecies.org:taxname:237644","Chevreuxiella Stephensen, 1915","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Thoriellidae","Chevreuxiella","Amphipod",1,
38,"Cleonardo","urn:lsid:marinespecies.org:taxname:101513","Cleonardo Stebbing, 1888","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Cleonardo","Amphipod",2,
39,"Cranocephalus","urn:lsid:marinespecies.org:taxname:236584","Cranocephalus Bovallius, 1890","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Oxycephalidae","Cranocephalus","Amphipod",2,
40,"Cranocephalus scleroticus","urn:lsid:marinespecies.org:taxname:236585","Cranocephalus scleroticus (Streets, 1878)","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Oxycephalidae","Cranocephalus","Amphipod",2,19882
42,"Cyllopus","urn:lsid:marinespecies.org:taxname:325405","Cyllopus Dana, 1852","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyllopodidae","Cyllopus","Amphipod",2,
43,"Cyllopus lucasii","urn:lsid:marinespecies.org:taxname:325406","Cyllopus lucasii Spence Bate, 1862","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyllopodidae","Cyllopus","Amphipod",4,19894
44,"Cyllopus magellanicus","urn:lsid:marinespecies.org:taxname:325407","Cyllopus magellanicus Dana, 1853","Species","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyllopodidae","Cyllopus","Amphipod",3,24455
46,"Cyphocaris","urn:lsid:marinespecies.org:taxname:101603","Cyphocaris Boeck, 1871","Genus","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyphocarididae","Cyphocaris","Amphipod",142,
